iso3,Country,year,hc,pop,rgdpe,xr
CHE,Switzerland,2000,3.52844762802124,7.184007,368548.875,1.6888425
CHE,Switzerland,2001,3.53894829750061,7.226391,369422.8125,1.687615
CHE,Switzerland,2002,3.54948043823242,7.278752,366579.53125,1.5586075
CHE,Switzerland,2003,3.56004357337952,7.333447,362704.65625,1.34665083333333
CHE,Switzerland,2004,3.57063841819763,7.384194,370410.3125,1.24349583333333
CHE,Switzerland,2005,3.58126473426819,7.431823,385585.375,1.24517666666667
CHE,Switzerland,2006,3.59192276000977,7.478509,417631.8125,1.25384333333333
CHE,Switzerland,2007,3.60261249542236,7.545381,458003.6875,1.20036583333333
CHE,Switzerland,2008,3.6133337020874,7.641728,479936.9375,1.08309
CHE,Switzerland,2009,3.62408709526062,7.737645,481338.8125,1.08814169630268
CHE,Switzerland,2010,3.63487243652344,7.825753,496048.96875,1.04290564573352
CHE,Switzerland,2011,3.64234471321106,7.914372,552769.125,0.888042028223281
CHE,Switzerland,2012,3.64983224868774,7.998926,571063.3125,0.937684480709349
CHE,Switzerland,2013,3.65733528137207,8.091202,568455.5625,0.926903547758285
CHE,Switzerland,2014,3.66485381126404,8.190235,580136,0.916151047283613
CHE,Switzerland,2015,3.67238759994507,8.283934,605930.8125,0.962381328004354
CHE,Switzerland,2016,3.67993688583374,8.374901,620415.5,0.985394394244834
CHE,Switzerland,2017,3.68750190734863,8.453628,640369.875,0.984691666666667
CHE,Switzerland,2018,3.69508242607117,8.516344,651319.25,0.977891666666667
CHE,Switzerland,2019,3.70267844200134,8.577524,681138.4375,0.993709166666667
CHE,Switzerland,2020,3.71028995513916,8.640582,666296.5,0.938965
CHE,Switzerland,2021,3.72179746627808,8.707023,704390.25,0.913845833333333
CHE,Switzerland,2022,3.73337984085083,8.792182,733504.375,0.9548325
CHE,Switzerland,2023,3.74503779411316,8.870561,729190.1875,0.89849
CHN,China,2000,2.31353735923767,1269.581175,5985309.5,8.27850416666667
CHN,China,2001,2.32968354225159,1278.725063,6520996.5,8.27706833333333
CHN,China,2002,2.34594249725342,1286.866839,7119989,8.2769575
CHN,China,2003,2.36231517791748,1294.517326,7792220,8.27703666666667
CHN,China,2004,2.37880182266235,1302.100316,8640414,8.27680083333333
CHN,China,2005,2.39540362358093,1310.027136,9890539,8.19431666666667
CHN,China,2006,2.40445852279663,1318.054036,10778327,7.97343833333333
CHN,China,2007,2.41354775428772,1325.813582,11919245,7.6075325
CHN,China,2008,2.4226713180542,1333.821016,12685565,6.948655
CHN,China,2009,2.43182945251465,1342.522716,13676858,6.83141605176666
CHN,China,2010,2.44102191925049,1351.561514,15095605,6.7702690287094
CHN,China,2011,2.47546982765198,1360.250664,16329355,6.46146132655007
CHN,China,2012,2.51040363311768,1369.520864,17410208,6.31233282683186
CHN,China,2013,2.54583048820496,1379.00804,18091038,6.19575834608231
CHN,China,2014,2.57462215423584,1387.951972,19092806,6.14343409448867
CHN,China,2015,2.59902787208557,1396.134174,20095396,6.22748867298455
CHN,China,2016,2.62366509437561,1404.052632,21125002,6.6444778294468
CHN,China,2017,2.64853596687317,1412.354727,22242982,6.75875508633597
CHN,China,2018,2.67364239692688,1419.008956,23692778,6.61595717735439
CHN,China,2019,2.69898700714111,1423.520357,25296168,6.90838500992901
CHN,China,2020,2.7245717048645,1426.106093,25899170,6.90076726944925
CHN,China,2021,2.73290514945984,1426.437267,28254862,6.44897518024316
CHN,China,2022,2.74130630493164,1425.179569,29195480,6.73715811237119
CHN,China,2023,2.74977564811707,1422.584933,30590320,7.08399842343631
DEU,Germany,2000,3.56631898880005,81.797258,3374667.25,1.08270508132602
DEU,Germany,2001,3.57492637634277,81.933885,3429975.25,1.11653308564463
DEU,Germany,2002,3.58355450630188,82.068326,3420399.75,1.05755899623965
DEU,Germany,2003,3.59220337867737,82.111615,3430270,0.88404792718493
DEU,Germany,2004,3.60087323188782,82.092708,3491848,0.803921647747618
DEU,Germany,2005,3.60956406593323,82.046731,3522758.5,0.803800192161442
DEU,Germany,2006,3.61827564239502,81.701971,3682467.25,0.796432730949102
DEU,Germany,2007,3.62700843811035,81.298542,3865585,0.729672399984083
DEU,Germany,2008,3.63576221466064,81.110777,3940595,0.679922680042729
DEU,Germany,2009,3.64453721046448,80.935283,3788199.75,0.716957702016136
DEU,Germany,2010,3.65333318710327,80.830924,3989083,0.754308990105961
DEU,Germany,2011,3.65577626228333,80.857874,4195223,0.718413898653317
DEU,Germany,2012,3.65822052955627,80.91639,4219334,0.778338120416812
DEU,Germany,2013,3.66066670417786,81.041582,4192691,0.752945122701996
DEU,Germany,2014,3.66311454772949,81.37608,4314204.5,0.752728196932603
DEU,Germany,2015,3.66556406021118,82.07755,4420293.5,0.901296423367096
DEU,Germany,2016,3.66801500320435,82.760102,4579976,0.903421436257263
DEU,Germany,2017,3.67046761512756,83.104007,4755894,0.885205508269372
DEU,Germany,2018,3.67292213439941,83.368505,4840361.5,0.846772667108111
DEU,Germany,2019,3.67537784576416,83.559186,5037171.5,0.893276257067409
DEU,Germany,2020,3.67783570289612,83.628708,4881379.5,0.875506396987998
DEU,Germany,2021,3.68691277503967,83.697083,5001540.5,0.84549413889045
DEU,Germany,2022,3.69603681564331,84.086227,5004375.5,0.949623753156941
DEU,Germany,2023,3.70520830154419,84.548231,5060520,0.924839558470698
FRA,France,2000,2.89169573783875,61.404918,2387058.5,1.08270508132602
FRA,France,2001,2.90776181221008,61.843576,2474442,1.11653308564463
FRA,France,2002,2.92391729354858,62.281563,2516460.75,1.05755899623965
FRA,France,2003,2.94016242027283,62.710292,2397495.25,0.88404792718493
FRA,France,2004,2.95649790763855,63.156878,2467092.75,0.803921647747618
FRA,France,2005,2.97292399406433,63.617228,2519720.25,0.803800192161442
FRA,France,2006,2.98944115638733,64.060149,2614524.25,0.796432730949102
FRA,France,2007,3.00605034828186,64.470141,2775842,0.729672399984083
FRA,France,2008,3.0227518081665,64.842856,2820596.75,0.679922680042729
FRA,France,2009,3.039546251297,65.186042,2796821.75,0.716957702016136
FRA,France,2010,3.05643367767334,65.510017,2870613.25,0.754308990105961
FRA,France,2011,3.07526326179504,65.836675,2977157.75,0.718413898653317
FRA,France,2012,3.09420895576477,66.16917,3002521.5,0.778338120416812
FRA,France,2013,3.11327147483826,66.513021,2978669,0.752945122701996
FRA,France,2014,3.13245129585266,66.841142,2989263.75,0.752728196932603
FRA,France,2015,3.15174913406372,67.080971,3062349.5,0.901296423367096
FRA,France,2016,3.17116594314575,67.260373,3121818.5,0.903421436257263
FRA,France,2017,3.19070243835449,67.469032,3189251,0.885205508269372
FRA,France,2018,3.21035933494568,67.706406,3241286.25,0.846772667108111
FRA,France,2019,3.23013734817505,67.917133,3547725.5,0.893276257067409
FRA,France,2020,3.25003695487976,68.104157,3354157.5,0.875506396987998
FRA,France,2021,3.27051472663879,68.291492,3491557.75,0.84549413889045
FRA,France,2022,3.29128694534302,68.48668,3534123.75,0.949623753156941
FRA,France,2023,3.31235980987549,68.655641,3569986.75,0.924839558470698
GBR,United Kingdom,2000,3.50959134101868,59.057338,2676896,0.660930833333333
GBR,United Kingdom,2001,3.52848124504089,59.28809,2763034.75,0.694655
GBR,United Kingdom,2002,3.54747271537781,59.540763,2766567.5,0.667223333333333
GBR,United Kingdom,2003,3.56656646728516,59.820385,2785531.5,0.6124725
GBR,United Kingdom,2004,3.5857629776001,60.169967,2889667.5,0.54618
GBR,United Kingdom,2005,3.60506272315979,60.596108,2920621,0.549998333333333
GBR,United Kingdom,2006,3.62446665763855,61.051094,3009524,0.543486666666667
GBR,United Kingdom,2007,3.64397478103638,61.535855,3051907.5,0.499771666666667
GBR,United Kingdom,2008,3.66358780860901,62.027306,3020880.75,0.54396625
GBR,United Kingdom,2009,3.68330645561218,62.506226,2885490,0.641919263495996
GBR,United Kingdom,2010,3.70313143730164,63.006483,2833145,0.647179345560165
GBR,United Kingdom,2011,3.7108952999115,63.509285,2847354,0.624140835740495
GBR,United Kingdom,2012,3.71867561340332,63.960484,2931476,0.633046988857327
GBR,United Kingdom,2013,3.72647213935852,64.389388,2972857.25,0.639660577613477
GBR,United Kingdom,2014,3.7342848777771,64.865916,3035732.75,0.607729626878255
GBR,United Kingdom,2015,3.74211430549622,65.38211,3193091.75,0.654545478931426
GBR,United Kingdom,2016,3.74996018409729,65.893358,3268272,0.740634463697084
GBR,United Kingdom,2017,3.75782227516174,66.354471,3363929.75,0.776976682344123
GBR,United Kingdom,2018,3.76570081710815,66.752475,3344201.25,0.749531540259847
GBR,United Kingdom,2019,3.7735960483551,67.110958,3504372.25,0.783445110011929
GBR,United Kingdom,2020,3.78150773048401,67.351861,3305258,0.779999576697153
GBR,United Kingdom,2021,3.80263948440552,67.668792,3464994.75,0.727064944688322
GBR,United Kingdom,2022,3.82441544532776,68.179315,3576412.25,0.811301715827773
GBR,United Kingdom,2023,3.84644913673401,68.682962,3606369.25,0.804538906734353
ITA,Italy,2000,2.77163362503052,57.272196,2321469.75,1.08270508132602
ITA,Italy,2001,2.79335689544678,57.30576,2387420.25,1.11653308564463
ITA,Italy,2002,2.81525039672852,57.420628,2310471.25,1.05755899623965
ITA,Italy,2003,2.83731555938721,57.739699,2284732.25,0.88404792718493
ITA,Italy,2004,2.85955357551575,58.176738,2293892.25,0.803921647747618
ITA,Italy,2005,2.88196587562561,58.519693,2294866.25,0.803800192161442
ITA,Italy,2006,2.90455389022827,58.754433,2399447,0.796432730949102
ITA,Italy,2007,2.92731904983521,59.10872,2536420,0.729672399984083
ITA,Italy,2008,2.95026254653931,59.561684,2593171.5,0.679922680042729
ITA,Italy,2009,2.97338581085205,59.90401,2540356.5,0.716957702016136
ITA,Italy,2010,2.99669027328491,60.164213,2551757.25,0.754308990105961
ITA,Italy,2011,3.01423954963684,60.36788,2636741,0.718413898653317
ITA,Italy,2012,3.03189158439636,60.531515,2570598,0.778338120416812
ITA,Italy,2013,3.04964733123779,60.653868,2491514,0.752945122701996
ITA,Italy,2014,3.06750679016113,60.664171,2467945.5,0.752728196932603
ITA,Italy,2015,3.08547067642212,60.575316,2531386,0.901296423367096
ITA,Italy,2016,3.10353994369507,60.478107,2668154.75,0.903421436257263
ITA,Italy,2017,3.12171483039856,60.390318,2720887.25,0.885205508269372
ITA,Italy,2018,3.13999652862549,60.277499,2726414.5,0.846772667108111
ITA,Italy,2019,3.15838503837585,60.130136,2854516,0.893276257067409
ITA,Italy,2020,3.17688131332397,59.912769,2632202.25,0.875506396987998
ITA,Italy,2021,3.20566248893738,59.72935,2879634.5,0.84549413889045
ITA,Italy,2022,3.23505067825317,59.619115,2941964.75,0.949623753156941
ITA,Italy,2023,3.26506185531616,59.499453,3032539.75,0.924839558470698
JPN,Japan,2000,3.34603881835938,127.027789,5264667.5,107.765498333333
JPN,Japan,2001,3.36086773872376,127.260148,5299230,121.5289475
JPN,Japan,2002,3.37576270103455,127.484598,5303337.5,125.388019166667
JPN,Japan,2003,3.39072346687317,127.671251,5373061,115.933464166667
JPN,Japan,2004,3.40575051307678,127.815774,5475032,108.192569166667
JPN,Japan,2005,3.42084431648254,127.91333,5544842,110.218211666667
JPN,Japan,2006,3.43600463867188,127.997247,5619079,116.299311666667
JPN,Japan,2007,3.45123267173767,128.087682,5721867.5,117.753529166667
JPN,Japan,2008,3.46652793884277,128.15599,5611646,103.359493968254
JPN,Japan,2009,3.48189091682434,128.19247,5372873,93.5700890870457
JPN,Japan,2010,3.49732208251953,128.185275,5568566.5,87.779875
JPN,Japan,2011,3.50793290138245,128.096432,5527307.5,79.8070198321892
JPN,Japan,2012,3.51857590675354,127.928285,5578679,79.7904554170065
JPN,Japan,2013,3.52925133705139,127.723645,5612847,97.5956582776385
JPN,Japan,2014,3.53995895385742,127.486605,5506011.5,105.944781034025
JPN,Japan,2015,3.55069923400879,127.275872,5667116.5,121.044025684011
JPN,Japan,2016,3.56147217750549,127.159951,5581832.5,108.792900046834
JPN,Japan,2017,3.57227778434753,127.06469,5567545,112.166141081871
JPN,Japan,2018,3.58311605453491,126.913432,5523070.5,110.42317934106
JPN,Japan,2019,3.59398722648621,126.699424,5515624,109.009665900863
JPN,Japan,2020,3.60489130020142,126.304543,5335586.5,106.774582262437
JPN,Japan,2021,3.62192320823669,125.679338,5337506.5,109.754323839417
JPN,Japan,2022,3.63912701606751,124.997578,5243242.5,131.498140443764
JPN,Japan,2023,3.6565043926239,124.370947,5393180.5,140.49110006234
MEX,Mexico,2000,2.41773200035095,98.625552,1686677,9.45555833333333
MEX,Mexico,2001,2.43708729743958,100.099099,1696744.625,9.34234166666667
MEX,Mexico,2002,2.45659756660461,101.548624,1688725,9.65595833333333
MEX,Mexico,2003,2.47626376152039,102.978515,1729275.125,10.7890191666667
MEX,Mexico,2004,2.49608755111694,104.394131,1808047.625,11.2859666666667
MEX,Mexico,2005,2.51607012748718,105.811504,1855946.625,10.8978916666667
MEX,Mexico,2006,2.53621244430542,107.253666,1988677.75,10.8992416666667
MEX,Mexico,2007,2.55651617050171,108.77436,2040467.25,10.9281916666667
MEX,Mexico,2008,2.57141518592834,110.374288,2057051,11.1297166666667
MEX,Mexico,2009,2.58525681495667,111.999721,2014234.625,13.513475
MEX,Mexico,2010,2.59917283058167,113.623895,2166551.25,12.6360083333333
MEX,Mexico,2011,2.61836075782776,115.243504,2376366.5,12.423325
MEX,Mexico,2012,2.63769030570984,116.818208,2531821,13.1694583333333
MEX,Mexico,2013,2.6571626663208,118.343573,2462417.5,12.7719916666667
MEX,Mexico,2014,2.67677879333496,119.784261,2516903,13.29245
MEX,Mexico,2015,2.69653964042664,121.072306,2598904.75,15.8482666666667
MEX,Mexico,2016,2.71644639968872,122.251351,2693811,18.6640583333333
MEX,Mexico,2017,2.73650026321411,123.400057,2705404.25,18.9265166666667
MEX,Mexico,2018,2.75670194625855,124.573711,2713931.5,19.2443416666667
MEX,Mexico,2019,2.7770528793335,125.762982,2678600.5,19.2636333333333
MEX,Mexico,2020,2.79755401611328,126.799054,2459316,21.4856083333333
MEX,Mexico,2021,2.81556797027588,127.648148,2557488.25,20.2724083333333
MEX,Mexico,2022,2.83388257026672,128.613117,2601140.25,20.12735
MEX,Mexico,2023,2.85250401496887,129.739759,2742741.25,17.7587166666667
USA,United States,2000,3.5785825252533,281.484131,15530929,1
USA,United States,2001,3.58833718299866,284.279639,15688271,1
USA,United States,2002,3.59811854362488,287.084338,15948216,1
USA,United States,2003,3.6079261302948,289.9081,16383841,1
USA,United States,2004,3.61776089668274,292.786253,17027680,1
USA,United States,2005,3.62762236595154,295.716664,17580320,1
USA,United States,2006,3.64232897758484,298.730209,18070692,1
USA,United States,2007,3.65709471702576,301.844226,18420674,1
USA,United States,2008,3.67192077636719,304.970333,18213936,1
USA,United States,2009,3.68680667877197,308.023454,17828036,1
USA,United States,2010,3.70175337791443,311.06279,18299994,1
USA,United States,2011,3.70701098442078,314.105078,18568118,1
USA,United States,2012,3.71227598190308,317.115355,19069654,1
USA,United States,2013,3.71754860877991,320.110759,19578584,1
USA,United States,2014,3.72282862663269,323.115377,20143926,1
USA,United States,2015,3.72811627388001,326.126497,20899968,1
USA,United States,2016,3.73341131210327,329.179427,21343028,1
USA,United States,2017,3.73871397972107,332.20466,21892416,1
USA,United States,2018,3.74402379989624,335.056497,22571668,1
USA,United States,2019,3.74934148788452,337.790067,23200364,1
USA,United States,2020,3.75466680526733,339.436159,22676858,1
USA,United States,2021,3.72817277908325,340.161441,24167636,1
USA,United States,2022,3.81364345550537,341.534046,24861132,1
USA,United States,2023,3.82982563972473,343.477335,25641846,1
